
 num     #instances         #bytes  class name
 113:           197           3152  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 114:           140           3120  [Lorg.springframework.core.annotation.AnnotationTypeMappings;
 115:           139           3104  [Lorg.springframework.core.annotation.MergedAnnotation;
 116:            63           3024  sun.nio.cs.UTF_8$Encoder
 117:           125           3000  javax.management.ObjectName$Property
 118:            38           2992  [Ljava.lang.invoke.MethodHandle;
 119:            92           2944  java.math.BigInteger
 120:           184           2944  java.util.HashSet
 121:            91           2912  org.springframework.core.type.classreading.SimpleMethodMetadata
 122:           121           2904  sun.reflect.NativeMethodAccessorImpl
 123:           120           2880  java.io.ExpiringCache$Entry
 124:           176           2816  org.springframework.boot.web.server.MimeMappings$Mapping
 125:            50           2800  java.util.jar.JarFile
 126:            57           2736  org.apache.tomcat.util.buf.ByteChunk
 127:            33           2640  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 128:           108           2592  org.springframework.core.convert.support.GenericConversionService$ConverterAdapter
 129:           111           2528  [Ljavax.management.ObjectName$Property;
 130:            45           2520  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 131:           151           2456  [Lsun.reflect.generics.tree.FormalTypeParameter;
 132:            51           2448  javax.management.MBeanInfo
 133:           153           2448  sun.reflect.DelegatingMethodAccessorImpl
 134:           139           2440  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 135:            32           2432  [S
 136:           150           2400  sun.reflect.generics.factory.CoreReflectionFactory
 137:            59           2360  java.util.Hashtable
 138:            52           2352  [Ljavax.management.MBeanAttributeInfo;
 139:           132           2312  [Lsun.reflect.generics.tree.ClassTypeSignature;
 140:            72           2304  java.security.ProtectionDomain
 141:            48           2304  org.springframework.core.type.classreading.SimpleAnnotationMetadata
 142:            71           2272  java.io.ObjectStreamField
 143:           141           2256  sun.reflect.DelegatingConstructorAccessorImpl
 144:            70           2240  java.security.CodeSource
 145:           139           2224  org.springframework.core.annotation.MergedAnnotationsCollection
 146:            92           2208  java.util.LinkedList
 147:            91           2184  org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source
 148:            45           2160  java.util.zip.Inflater
 149:           132           2112  sun.reflect.generics.scope.ClassScope
 150:            65           2080  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 151:           128           2048  java.lang.Character
 152:            32           2048  sun.reflect.DelegatingClassLoader
